trade_date,index_code,index_name_cn,open,high,low,close,change,change_pct,trading_volume,trading_value
20061030,930955,红利低波100,1513.28,1539.29,1513.28,1539.29,,1.7,1488.64,65.53
20061031,930955,红利低波100,1541.3,1555.78,1541.3,1555.78,,1.07,1526.44,71.23
20061101,930955,红利低波100,1556.86,1571.12,1552.81,1571.12,,0.99,1589.76,74.55
20061102,930955,红利低波100,1573.6,1581.15,1569.76,1581.0,,0.63,1860.0,87.08
20061103,930955,红利低波100,1584.02,1595.39,1582.68,1583.95,,0.19,1693.06,76.81
20061106,930955,红利低波100,1573.88,1603.85,1573.88,1603.85,,1.26,1799.49,81.44
20061107,930955,红利低波100,1606.33,1606.97,1582.77,1605.35,,0.09,1622.81,78.77
20061108,930955,红利低波100,1604.74,1604.74,1578.05,1578.89,,-1.65,1120.61,54.32
20061109,930955,红利低波100,1575.27,1599.67,1573.09,1597.14,,1.16,1340.66,64.01
20061110,930955,红利低波100,1598.1,1598.33,1554.31,1562.13,,-2.19,1730.39,84.27
20061113,930955,红利低波100,1560.76,1569.68,1518.25,1525.78,,-2.33,1292.04,59.36
20061114,930955,红利低波100,1524.83,1536.99,1500.56,1536.99,,0.74,1163.46,53.96
20061115,930955,红利低波100,1535.44,1571.33,1529.4,1571.33,,2.23,1394.94,66.22
20061116,930955,红利低波100,1574.19,1582.61,1556.08,1556.09,,-0.97,1989.13,96.84
20061117,930955,红利低波100,1550.53,1587.0,1550.53,1587.0,,1.99,1478.87,74.68
20061120,930955,红利低波100,1592.28,1601.89,1580.05,1601.89,,0.94,2032.34,96.84
20061121,930955,红利低波100,1601.51,1614.27,1574.91,1614.27,,0.77,1690.4,85.62
20061122,930955,红利低波100,1612.95,1646.79,1612.5,1634.72,,1.27,2040.73,101.83
20061123,930955,红利低波100,1634.45,1648.93,1630.62,1645.3,,0.65,1979.3,94.78
20061124,930955,红利低波100,1642.91,1665.27,1632.26,1662.02,,1.02,1963.28,95.25
20061127,930955,红利低波100,1662.08,1691.34,1662.08,1691.34,,1.76,1624.79,85.63
20061128,930955,红利低波100,1691.48,1696.18,1669.27,1682.07,,-0.55,1539.39,77.31
20061129,930955,红利低波100,1661.15,1696.53,1659.46,1691.29,,0.55,1511.74,78.56
20061130,930955,红利低波100,1692.98,1726.24,1692.98,1723.84,,1.93,2144.12,110.24
20061201,930955,红利低波100,1726.86,1744.94,1723.31,1736.23,,0.72,1884.81,108.4
20061204,930955,红利低波100,1738.77,1774.29,1738.77,1774.29,,2.19,2453.54,128.77
20061205,930955,红利低波100,1779.39,1787.43,1766.23,1775.76,,0.08,2243.97,122.25
20061206,930955,红利低波100,1777.42,1783.42,1707.74,1745.3,,-1.72,3147.26,162.3
20061207,930955,红利低波100,1742.4,1789.22,1742.4,1753.19,,0.45,3295.88,170.04
20061208,930955,红利低波100,1736.47,1741.45,1681.7,1682.78,,-4.02,2453.29,125.3
20061211,930955,红利低波100,1698.46,1743.89,1691.64,1743.89,,3.63,1902.18,95.9
20061212,930955,红利低波100,1749.3,1760.24,1719.97,1751.65,,0.45,2200.37,118.54
20061213,930955,红利低波100,1753.66,1755.27,1736.91,1753.44,,0.1,1848.25,100.83
20061214,930955,红利低波100,1756.41,1787.58,1756.41,1785.29,,1.82,1597.54,86.32
20061215,930955,红利低波100,1790.3,1801.96,1782.72,1801.96,,0.93,1642.57,94.02
20061218,930955,红利低波100,1812.28,1824.2,1803.54,1818.77,,0.93,2140.93,122.39
20061219,930955,红利低波100,1821.93,1824.82,1784.92,1824.82,,0.33,2373.89,134.51
20061220,930955,红利低波100,1817.07,1844.84,1813.46,1844.84,,1.1,1755.2,103.7
20061221,930955,红利低波100,1846.44,1854.73,1822.23,1822.23,,-1.23,2203.18,128.46
20061222,930955,红利低波100,1827.88,1828.51,1794.92,1811.65,,-0.58,1533.82,89.81
20061225,930955,红利低波100,1826.51,1840.98,1814.61,1831.0,,1.07,1845.41,105.29
20061226,930955,红利低波100,1833.46,1840.24,1810.39,1827.74,,-0.18,2052.38,114.88
20061227,930955,红利低波100,1827.74,1845.5,1827.74,1845.5,,0.97,2387.93,131.54
20061228,930955,红利低波100,1847.47,1854.49,1807.96,1819.93,,-1.39,2232.04,127.88
20061229,930955,红利低波100,1825.27,1876.74,1825.27,1869.09,,2.7,2621.77,160.21
20070104,930955,红利低波100,1889.63,1949.53,1889.43,1912.0,,2.3,3527.77,246.48
20070105,930955,红利低波100,1910.2,1987.75,1910.2,1987.75,,3.96,3141.84,213.91
20070108,930955,红利低波100,1995.12,2059.86,1995.12,2059.86,,3.63,2588.64,177.6
20070109,930955,红利低波100,2064.62,2111.94,2059.19,2105.65,,2.22,2452.11,173.26
20070110,930955,红利低波100,2109.79,2157.78,2093.9,2157.78,,2.48,2482.38,176.71
20070111,930955,红利低波100,2158.14,2204.06,2138.87,2141.41,,-0.76,2443.9,179.15
20070112,930955,红利低波100,2124.94,2147.86,2042.91,2042.91,,-4.6,2402.24,168.94
20070115,930955,红利低波100,2041.36,2145.96,2041.36,2145.96,,5.04,2190.91,157.14
20070116,930955,红利低波100,2152.14,2176.88,2136.71,2176.88,,1.44,2377.25,180.46
20070117,930955,红利低波100,2180.33,2227.17,2132.34,2166.82,,-0.46,2774.53,208.58
20070118,930955,红利低波100,2167.54,2189.57,2115.23,2188.16,,0.99,2377.17,178.39
